SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
3, 0.0000, 0, 0.96243405, 0.01636206, -0.27182776, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.70703816, 74.16368103, 3.97632837, 0.79609996, 0.04670000, -0.60130000, -0.04710000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0100, 1, 0.96142322, 0.01734748, -0.27182791, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.70703816, 74.16368103, 3.97632837, 0.79609996, 0.04670000, -0.60130000, -0.04710000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, -0.0001, 0, -0.67332542, -0.39425522, -0.65888226, 0.57311821, 7.58842087, -12.73832512, 0.00000000, 0.00000000, 0.00000000, 32.89351654, -38.15327072, -132.72572327, 0.44810000, 0.17979999, 0.37079999, 0.79319996, 0.05400000, -0.03100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0200, 2, 0.96242476, 0.01735642, -0.27181911, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.70703816, 74.16368103, 3.97632837, 0.79609996, 0.04670000, -0.60139996, -0.04710000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, -0.0000, 0, -0.14495152, 0.05985140, -0.98277676, 1.69351673, 12.26071930, -1.89458966, 0.00000000, 0.00000000, 0.00000000, -3.51223230, -6.72652674, 77.03420258, -0.78169996, 0.01260000, -0.06490000, 0.62000000, 0.02700000, 0.00000000, -0.00700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0300, 3, 0.96242476, 0.01735642, -0.27181911, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.70703816, 74.16368103, 3.97632837, 0.79609996, 0.04670000, -0.60130000, -0.04710000, 0.00000000, 0.00000000, 0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0099, 1, -0.65813124, -0.40209538, -0.67378575, 0.41958916, 5.90065432, -13.96001148, 0.00000000, 0.00000000, 0.00000000, 32.96227264, -38.02722168, -132.83457947, 0.44739997, 0.17899999, 0.37079999, 0.79380000, 0.04200000, -0.02500000, 0.01300000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, -0.10688911, 0.04386959, -0.98445714, 1.16446757, 15.12715054, -2.87184572, 0.00000000, 0.00000000, 0.00000000, -3.49504352, -6.57755756, 76.99982452, -0.78200001, 0.01180000, -0.06380000, 0.61979997, -0.00800000, 0.01600000, -0.00600000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0199, 2, -0.62123257, -0.41611636, -0.67536706, -0.32675084, 1.36173320, -14.69643879, 0.00000000, 0.00000000, 0.00000000, 33.04821777, -37.93554688, -132.97781372, 0.44639999, 0.17839999, 0.37090001, 0.79439998, 0.00600000, -0.01300000, 0.01400000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, -0.06879807, 0.05688713, -0.99086654, 1.00327408, 13.41287136, -3.05152297, 0.00000000, 0.00000000, 0.00000000, -3.47785497, -6.44577742, 76.95398712, -0.78230000, 0.01120000, -0.06280000, 0.61960000, -0.04300000, 0.00200000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0400, 4, 0.96142322, 0.01734748, -0.27182791, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.70703816, 74.16368103, 3.97632837, 0.79609996, 0.04670000, -0.60130000, -0.04710000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0299, 3, -0.57958221, -0.41934648, -0.66270381, -1.46155703, -4.97938490, -16.60166168, 0.00000000, 0.00000000, 0.00000000, 33.16280746, -37.88398361, -133.18981934, 0.44509998, 0.17829999, 0.37129998, 0.79509997, -0.03400000, -0.01100000, 0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
